COMMUNITY AREA NAME,CENSUS BLOCK,BUILDING TYPE,BUILDING_SUBTYPE,KWH JANUARY 2010,KWH FEBRUARY 2010,KWH MARCH 2010,KWH APRIL 2010,KWH MAY 2010,KWH JUNE 2010,KWH JULY 2010,KWH AUGUST 2010,KWH SEPTEMBER 2010,KWH OCTOBER 2010,KWH NOVEMBER 2010,KWH DECEMBER 2010,TOTAL KWH,ELECTRICITY ACCOUNTS,ZERO KWH ACCOUNTS,THERM JANUARY 2010,THERM FEBRUARY 2010,THERM MARCH 2010,TERM APRIL 2010,THERM MAY 2010,THERM JUNE 2010,THERM JULY 2010,THERM AUGUST 2010,THERM SEPTEMBER 2010,THERM OCTOBER 2010,THERM NOVEMBER 2010,THERM DECEMBER 2010,TOTAL THERMS,GAS ACCOUNTS,KWH TOTAL SQFT,THERMS TOTAL SQFT,KWH MEAN 2010,KWH STANDARD DEVIATION 2010,KWH MINIMUM 2010,KWH 1ST QUARTILE 2010,KWH 2ND QUARTILE 2010,KWH 3RD QUARTILE 2010,KWH MAXIMUM 2010,KWH SQFT MEAN 2010,KWH SQFT STANDARD DEVIATION 2010,KWH SQFT MINIMUM 2010,KWH SQFT 1ST QUARTILE 2010,KWH SQFT 2ND QUARTILE 2010,KWH SQFT 3RD QUARTILE 2010,KWH SQFT MAXIMUM 2010,THERM MEAN 2010,THERM STANDARD DEVIATION 2010,THERM MINIMUM 2010,THERM 1ST QUARTILE 2010,THERM 2ND QUARTILE 2010,THERM 3RD QUARTILE 2010,THERM MAXIMUM 2010,THERMS SQFT MEAN 2010,THERMS SQFT STANDARD DEVIATION 2010,THERMS SQFT MINIMUM 2010,THERMS SQFT 1ST QUARTILE 2010,THERMS SQFT 2ND QUARTILE 2010,THERMS SQFT 3RD QUARTILE 2010,THERMS SQFT MAXIMUM 2010,TOTAL POPULATION,TOTAL UNITS,AVERAGE STORIES,AVERAGE BUILDING AGE,AVERAGE HOUSESIZE,OCCUPIED UNITS,OCCUPIED UNITS PERCENTAGE,RENTER-OCCUPIED HOUSING UNITS,RENTER-OCCUPIED HOUSING PERCENTAGE,OCCUPIED HOUSING UNITS
Austin,170312521023012.0,Residential,Multi < 7,96.0,202.0,1837.0,1118.0,669.0,889.0,812.0,1880.0,1743.0,696.0,684.0,903.0,11529.0,5,8,,,,,,,,,,,,,,,5672.0,,3843.0,2401.76,1344.0,1344.0,4051.0,6134.0,6134.0,5672.0,,5672.0,5672.0,5672.0,5672.0,5672.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0
Austin,170312522025000.0,Commercial,Multi < 7,,,,,,,,,,,,,,,1,910.0,738.0,632.0,448.0,254.0,113.0,42.0,29.0,33.0,36.0,166.0,633.0,4034.0,Less than 4,,5166.0,,,,,,,,,,,,,,,4034.0,,4034.0,4034.0,4034.0,4034.0,4034.0,5166.0,,5166.0,5166.0,5166.0,5166.0,5166.0,0.0,0.0,2.0,87.0,0.0,0.0,,0.0,,0.0
Avondale,170312105012012.0,Commercial,Multi < 7,6113.0,6669.0,5851.0,8723.0,8025.0,9396.0,8373.0,8889.0,9586.0,9638.0,8655.0,10591.0,100509.0,4,0,,,,,,,,,,,,,,,4190.0,,33503.0,37888.54,8599.0,8599.0,14804.0,77106.0,77106.0,4190.0,,4190.0,4190.0,4190.0,4190.0,4190.0,,,,,,,,,,,,,,,53.0,39.0,1.0,0.0,1.61,33.0,0.8462,33.0,1.0,33.0
Avondale,170312105023000.0,Commercial,Multi < 7,,,,,,,,,,,,,,,1,535.0,458.0,481.0,307.0,194.0,145.0,119.0,102.0,88.0,109.0,141.0,249.0,2928.0,4,,3967.0,,,,,,,,,,,,,,,2928.0,,2928.0,2928.0,2928.0,2928.0,2928.0,3967.0,,3967.0,3967.0,3967.0,3967.0,3967.0,176.0,61.0,1.0,0.0,4.09,43.0,0.7049,33.0,0.767,43.0
Avondale,170312106013002.0,Commercial,Multi 7+,,,,,,,,,,,,,,,5,,,,,,,,,,,,115.0,115.0,4,,10907.0,,,,,,,,,,,,,,,115.0,,115.0,115.0,115.0,115.0,115.0,10907.0,,10907.0,10907.0,10907.0,10907.0,10907.0,3.0,9.0,3.0,77.0,3.0,1.0,0.111,1.0,1.0,1.0
Avondale,170312106013005.0,Commercial,Multi < 7,0.0,0.0,0.0,0.0,22.0,32.0,138.0,54.0,21.0,18.0,20.0,3.0,308.0,4,0,,,,,,,,,,,,,,,3507.0,,308.0,,308.0,308.0,308.0,308.0,308.0,3507.0,,3507.0,3507.0,3507.0,3507.0,3507.0,,,,,,,,,,,,,,,113.0,42.0,1.0,0.0,3.05,37.0,0.8809,23.0,0.622,37.0
Avondale,170312106023008.0,Commercial,Multi < 7,1593.0,1853.0,1626.0,1493.0,1922.0,3637.0,3605.0,3579.0,2585.0,1430.0,1696.0,1813.0,26832.0,4,1,,,,,,,,,,,,,,,3556.0,,13416.0,17800.71,829.0,829.0,13416.0,26003.0,26003.0,1778.0,172.53,1656.0,1656.0,1778.0,1900.0,1900.0,,,,,,,,,,,,,,,207.0,78.0,2.0,96.5,3.45,60.0,0.7692,45.0,0.75,60.0
Avondale,170312107001003.0,Commercial,Multi < 7,945.0,698.0,586.0,934.0,1007.0,1419.0,1892.0,772.0,485.0,369.0,1743.0,2880.0,13730.0,Less than 4,0,,,,,,,,,,,,,,,3000.0,,13730.0,,13730.0,13730.0,13730.0,13730.0,13730.0,3000.0,,3000.0,3000.0,3000.0,3000.0,3000.0,,,,,,,,,,,,,,,58.0,16.0,2.0,121.0,3.87,15.0,0.9375,9.0,0.6,15.0
Avondale,170312109001008.0,Commercial,Commercial,4006.0,2918.0,3124.0,3237.0,3736.0,4965.0,5382.0,5033.0,3393.0,3548.0,4041.0,3929.0,47312.0,Less than 4,1,,,,,,,,,,,,,,,18700.0,,23656.0,6622.76,18973.0,18973.0,23656.0,28339.0,28339.0,9350.0,494.97,9000.0,9000.0,9350.0,9700.0,9700.0,,,,,,,,,,,,,,,2.0,1.0,1.0,63.0,2.0,1.0,1.0,0.0,0.0,1.0
Avondale,170312109001038.0,Residential,Multi < 7,,,,,,,,,,,,,,,4,285.0,285.0,244.0,129.0,73.0,46.0,39.0,27.0,39.0,29.0,50.0,144.0,1390.0,Less than 4,,1936.0,,,,,,,,,,,,,,,1390.0,,1390.0,1390.0,1390.0,1390.0,1390.0,1936.0,,1936.0,1936.0,1936.0,1936.0,1936.0,33.0,16.0,2.0,101.0,2.2,15.0,0.9375,2.0,0.133,15.0
Belmont Cragin,170311902002008.0,Commercial,Multi < 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,580.0,1006.0,Less than 4,2,,,,,,,,,,,,,,,2494.0,,1006.0,,1006.0,1006.0,1006.0,1006.0,1006.0,2494.0,,2494.0,2494.0,2494.0,2494.0,2494.0,,,,,,,,,,,,,,,143.0,34.0,2.0,84.0,4.47,32.0,0.9412,22.0,0.688,32.0
Belmont Cragin,170311903003009.0,Commercial,Commercial,,,,,,,,,,,,,,,1,888.0,825.0,569.0,210.0,131.0,13.0,9.0,9.0,8.0,11.0,82.0,319.0,3074.0,Less than 4,,2128.0,,,,,,,,,,,,,,,3074.0,,3074.0,3074.0,3074.0,3074.0,3074.0,2128.0,,2128.0,2128.0,2128.0,2128.0,2128.0,109.0,40.0,1.0,0.0,3.21,34.0,0.85,20.0,0.588,34.0
Beverly,170317205002014.0,Residential,Single Family,,,,,,,,,,,,,,,0,243.0,195.0,156.0,46.0,6.0,7.0,6.0,6.0,7.0,5.0,26.0,81.0,784.0,Less than 4,,6800.0,,,,,,,,,,,,,,,392.0,52.33,355.0,355.0,392.0,429.0,429.0,3400.0,0.0,3400.0,3400.0,3400.0,3400.0,3400.0,2.0,1.0,1.0,51.0,2.0,1.0,1.0,1.0,1.0,1.0
Bridgeport,170316007001006.0,Commercial,Multi < 7,,,,,,,,,,,,,,,2,350.0,,504.0,89.0,48.0,27.0,22.0,23.0,26.0,31.0,71.0,209.0,1400.0,Less than 4,,1778.0,,,,,,,,,,,,,,,1400.0,,1400.0,1400.0,1400.0,1400.0,1400.0,1778.0,,1778.0,1778.0,1778.0,1778.0,1778.0,99.0,39.0,2.0,102.0,2.75,36.0,0.9231,22.0,0.611,36.0
Bridgeport,170316009001000.0,Commercial,Commercial,,,,,,,,,,,,,,,0,739.0,619.0,479.0,275.0,194.0,159.0,172.0,169.0,184.0,186.0,316.0,829.0,4321.0,9,,7157.0,,,,,,,,,,,,,,,480.11,145.52,270.0,390.0,474.0,576.0,690.0,3578.5,38.89,3551.0,3551.0,3578.5,3606.0,3606.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0
Bridgeport,170318399002006.0,Commercial,Commercial,,,,,,,,,,,,,,,0,86154.0,81303.0,90643.0,76601.0,79004.0,83345.0,63668.0,80512.0,74971.0,75264.0,77064.0,72307.0,940836.0,Less than 4,,324200.0,,,,,,,,,,,,,,,940836.0,,940836.0,940836.0,940836.0,940836.0,940836.0,324200.0,,324200.0,324200.0,324200.0,324200.0,324200.0,0.0,0.0,3.0,67.0,0.0,0.0,,0.0,,0.0
Brighton Park,170315801002010.0,Commercial,Municipal,,,,,,,,,,,,,,,0,9935.0,8218.0,7046.0,2995.0,894.0,274.0,166.0,38.0,319.0,790.0,3094.0,10645.0,44414.0,Less than 4,,14878.0,,,,,,,,,,,,,,,22207.0,28585.5,1994.0,1994.0,22207.0,42420.0,42420.0,14878.0,,14878.0,14878.0,14878.0,14878.0,14878.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0
Brighton Park,170318428001004.0,Commercial,Commercial,27.0,6.0,2.0,2.0,4.0,2.0,2.0,81.0,21.0,9.0,7.0,9.0,172.0,Less than 4,0,,,,,,,,,,,,,,,891.0,,172.0,,172.0,172.0,172.0,172.0,172.0,891.0,,891.0,891.0,891.0,891.0,891.0,,,,,,,,,,,,,,,121.0,36.0,1.0,0.0,4.17,29.0,0.8056,16.0,0.552,29.0
Chatham,170314401011004.0,Commercial,Multi 7+,4016.0,3374.0,4761.0,4466.0,5602.0,7171.0,7485.0,7045.0,5551.0,5394.0,7694.0,6962.0,69521.0,23,12,,,,,,,,,,,,,,,30401.0,,7724.56,4909.47,864.0,4449.0,8112.0,9084.0,15898.0,15200.5,5487.86,11320.0,11320.0,15200.5,19081.0,19081.0,,,,,,,,,,,,,,,124.0,75.0,3.0,65.0,2.64,47.0,0.6267,38.0,0.809,47.0
Chatham,170314401011011.0,Residential,Multi 7+,7542.0,7912.0,5451.0,3173.0,3792.0,4120.0,3197.0,4574.0,5509.0,6531.0,14402.0,22510.0,88713.0,10,23,,,,,,,,,,,,,,,9012.0,,88713.0,,88713.0,88713.0,88713.0,88713.0,88713.0,9012.0,,9012.0,9012.0,9012.0,9012.0,9012.0,,,,,,,,,,,,,,,144.0,67.0,3.0,47.0,2.4,60.0,0.8955,52.0,0.867,60.0
Chatham,170314409001000.0,Residential,Multi < 7,0.0,0.0,115.0,695.0,3527.0,8412.0,4175.0,3900.0,3257.0,3305.0,2813.0,3344.0,33543.0,Less than 4,0,,,,,,,,,,,,,,,4306.0,,33543.0,,33543.0,33543.0,33543.0,33543.0,33543.0,4306.0,,4306.0,4306.0,4306.0,4306.0,4306.0,,,,,,,,,,,,,,,2.0,10.0,1.0,0.0,1.0,2.0,0.2,1.0,0.5,2.0
Chatham,170314409001015.0,Commercial,Multi < 7,,,,,,,,,,,,,,,2,116.0,118.0,130.0,62.0,,,,,4.0,5.0,69.0,156.0,660.0,Less than 4,,1642.0,,,,,,,,,,,,,,,660.0,,660.0,660.0,660.0,660.0,660.0,1642.0,,1642.0,1642.0,1642.0,1642.0,1642.0,39.0,18.0,2.0,119.0,2.85,13.0,0.7222,10.0,0.769,13.0
Chicago Lawn,170316603024008.0,Commercial,Commercial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1883.0,2361.0,1182.0,5426.0,Less than 4,0,,,,,,,,,,,,,,,2552.0,,2713.0,3507.25,233.0,233.0,2713.0,5193.0,5193.0,1276.0,36.77,1250.0,1250.0,1276.0,1302.0,1302.0,,,,,,,,,,,,,,,126.0,59.0,1.0,85.0,2.8,45.0,0.7626,31.0,0.689,45.0
Chicago Lawn,170316606001003.0,Commercial,Multi < 7,0.0,0.0,0.0,0.0,0.0,743.0,987.0,3771.0,2497.0,1659.0,1961.0,2045.0,13663.0,Less than 4,0,,,,,,,,,,,,,,,2560.0,,13663.0,,13663.0,13663.0,13663.0,13663.0,13663.0,2560.0,,2560.0,2560.0,2560.0,2560.0,2560.0,,,,,,,,,,,,,,,49.0,20.0,2.0,90.0,3.27,15.0,0.75,8.0,0.5329,15.0
Chicago Lawn,170316606005009.0,Commercial,Multi < 7,,,,,,,,,,,,,,,7,1005.0,928.0,656.0,454.0,267.0,169.0,174.0,179.0,183.0,233.0,481.0,877.0,5606.0,5,,4902.0,,,,,,,,,,,,,,,2803.0,3565.23,282.0,282.0,2803.0,5324.0,5324.0,4902.0,,4902.0,4902.0,4902.0,4902.0,4902.0,120.0,32.0,2.0,85.0,4.62,26.0,0.8125,18.0,0.692,26.0
Chicago Lawn,170316607002002.0,Commercial,Commercial,,,,,,,,,,,,,,,2,692.0,648.0,527.0,325.0,65.0,38.0,70.0,56.0,63.0,70.0,176.0,193.0,2923.0,Less than 4,,1918.0,,,,,,,,,,,,,,,1461.5,12.02,1453.0,1453.0,1461.5,1470.0,1470.0,959.0,60.81,916.0,916.0,959.0,1002.0,1002.0,90.0,25.0,1.0,92.5,4.5,20.0,0.8,8.0,0.4,20.0
Chicago Lawn,170316609002002.0,Residential,Multi 7+,828.0,665.0,919.0,697.0,872.0,991.0,1044.0,989.0,817.0,741.0,1194.0,1552.0,11309.0,4,1,,,,,,,,,,,,,,,8121.0,,11309.0,,11309.0,11309.0,11309.0,11309.0,11309.0,8121.0,,8121.0,8121.0,8121.0,8121.0,8121.0,,,,,,,,,,,,,,,61.0,29.0,2.0,43.0,3.21,19.0,0.6552,19.0,1.0,19.0
Chicago Lawn,170316610001022.0,Commercial,Multi < 7,,,,,,,,,,,,,,,0,1268.0,1192.0,989.0,731.0,451.0,231.0,119.0,115.0,109.0,148.0,372.0,768.0,6493.0,Less than 4,,1400.0,,,,,,,,,,,,,,,6493.0,,6493.0,6493.0,6493.0,6493.0,6493.0,1400.0,,1400.0,1400.0,1400.0,1400.0,1400.0,2.0,2.0,3.0,91.0,1.0,2.0,1.0,2.0,1.0,2.0
Chicago Lawn,170318350005005.0,Commercial,Multi < 7,,,,,,,,,,,,,,,2,193.0,149.0,70.0,75.0,,,,,,,,76.0,563.0,Less than 4,,2234.0,,,,,,,,,,,,,,,563.0,,563.0,563.0,563.0,563.0,563.0,2234.0,,2234.0,2234.0,2234.0,2234.0,2234.0,114.0,41.0,2.0,93.0,4.56,25.0,0.6098,20.0,0.8,25.0
Clearing,170316404001011.0,Residential,Multi < 7,,,,,,,,,,,,,,,0,555.0,440.0,378.0,228.0,126.0,88.0,61.0,62.0,63.0,69.0,173.0,304.0,2547.0,5,,3920.0,,,,,,,,,,,,,,,2547.0,,2547.0,2547.0,2547.0,2547.0,2547.0,3920.0,,3920.0,3920.0,3920.0,3920.0,3920.0,60.0,25.0,1.0,0.0,2.61,23.0,0.92,5.0,0.217,23.0
Clearing,170316406002023.0,Residential,Multi < 7,4632.0,3358.0,1884.0,1770.0,1416.0,1863.0,2039.0,1922.0,1489.0,2969.0,7759.0,10780.0,41881.0,7,1,,,,,,,,,,,,,,,5182.0,,41881.0,,41881.0,41881.0,41881.0,41881.0,41881.0,5182.0,,5182.0,5182.0,5182.0,5182.0,5182.0,,,,,,,,,,,,,,,114.0,76.0,3.0,39.0,1.65,69.0,0.9079,50.0,0.725,69.0
Dunning,170311703003003.0,Residential,Multi < 7,,,,,,,,,,,,,,,2,326.0,305.0,244.0,137.0,96.0,76.0,44.0,27.0,31.0,48.0,71.0,205.0,1610.0,Less than 4,,1723.0,,,,,,,,,,,,,,,1610.0,,1610.0,1610.0,1610.0,1610.0,1610.0,1723.0,,1723.0,1723.0,1723.0,1723.0,1723.0,51.0,16.0,1.0,79.0,3.19,16.0,1.0,2.0,0.125,16.0
Dunning,170311709001005.0,Commercial,Commercial,,,,,,,,,,,,,,,0,551.0,502.0,364.0,145.0,74.0,16.0,23.0,21.0,23.0,37.0,119.0,469.0,2344.0,Less than 4,,3000.0,,,,,,,,,,,,,,,2344.0,,2344.0,2344.0,2344.0,2344.0,2344.0,3000.0,,3000.0,3000.0,3000.0,3000.0,3000.0,55.0,24.0,2.0,50.0,2.89,19.0,0.7917,16.0,0.842,19.0
Dunning,170311710001007.0,Residential,Multi 7+,739.0,1451.0,1118.0,985.0,1866.0,3192.0,2624.0,1920.0,1289.0,1117.0,1181.0,1405.0,18887.0,5,1,,,,,,,,,,,,,,,12621.0,,18887.0,,18887.0,18887.0,18887.0,18887.0,18887.0,12621.0,,12621.0,12621.0,12621.0,12621.0,12621.0,,,,,,,,,,,,,,,48.0,18.0,3.0,0.0,3.2,15.0,0.8332,4.0,0.267,15.0
East Garfield Park,170318368001027.0,Residential,Multi < 7,,,,,,,,,,,,,,,3,611.0,550.0,367.0,211.0,128.0,56.0,,,2.0,28.0,238.0,546.0,2737.0,Less than 4,,4374.0,,,,,,,,,,,,,,,2737.0,,2737.0,2737.0,2737.0,2737.0,2737.0,4374.0,,4374.0,4374.0,4374.0,4374.0,4374.0,21.0,5.0,3.0,111.0,5.25,4.0,0.8,4.0,1.0,4.0
East Garfield Park,170318371002024.0,Commercial,Commercial,,,,,,,,,,,,,,,1,422.0,,279.0,16.0,,,,,,,44.0,191.0,952.0,Less than 4,,2520.0,,,,,,,,,,,,,,,952.0,,952.0,952.0,952.0,952.0,952.0,2520.0,,2520.0,2520.0,2520.0,2520.0,2520.0,82.0,33.0,1.0,0.0,2.56,32.0,0.9697,18.0,0.563,32.0
East Garfield Park,170318374001019.0,Residential,Single Family,,,,,,,,,,,,,,,2,243.0,,125.0,46.0,82.0,51.0,48.0,46.0,39.0,96.0,261.0,109.0,1146.0,Less than 4,,1200.0,,,,,,,,,,,,,,,1146.0,,1146.0,1146.0,1146.0,1146.0,1146.0,1200.0,,1200.0,1200.0,1200.0,1200.0,1200.0,6.0,2.0,2.0,126.0,3.0,2.0,1.0,2.0,1.0,2.0
East Garfield Park,170318374002022.0,Commercial,Commercial,,,,,,,,,,,,,,,0,2975.0,1460.0,3354.0,230.0,230.0,254.0,,1.0,1.0,170.0,113.0,402.0,9190.0,Less than 4,,7563.0,,,,,,,,,,,,,,,9190.0,,9190.0,9190.0,9190.0,9190.0,9190.0,7563.0,,7563.0,7563.0,7563.0,7563.0,7563.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0
East Side,170315202003030.0,Commercial,Multi < 7,0.0,896.0,341.0,304.0,347.0,863.0,551.0,440.0,341.0,371.0,445.0,332.0,5231.0,4,0,,,,,,,,,,,,,,,3249.0,,5231.0,,5231.0,5231.0,5231.0,5231.0,5231.0,3249.0,,3249.0,3249.0,3249.0,3249.0,3249.0,,,,,,,,,,,,,,,124.0,27.0,3.0,109.0,4.96,25.0,0.9259,11.0,0.44,25.0
East Side,170315203001016.0,Commercial,Multi < 7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,154.0,164.0,97.0,644.0,Less than 4,1,,,,,,,,,,,,,,,2760.0,,644.0,,644.0,644.0,644.0,644.0,644.0,2760.0,,2760.0,2760.0,2760.0,2760.0,2760.0,,,,,,,,,,,,,,,88.0,30.0,2.0,132.0,3.52,25.0,0.8332,14.0,0.56,25.0
East Side,170315203003006.0,Residential,Multi < 7,,,,,,,,,,,,,,,0,459.0,402.0,400.0,194.0,119.0,100.0,13.0,45.0,52.0,55.0,128.0,306.0,2273.0,Less than 4,,1124.0,,,,,,,,,,,,,,,2273.0,,2273.0,2273.0,2273.0,2273.0,2273.0,1124.0,,1124.0,1124.0,1124.0,1124.0,1124.0,56.0,18.0,3.0,121.0,3.5,16.0,0.8889,4.0,0.25,16.0
East Side,170315203004013.0,Residential,Multi < 7,,,,,,,,,,,,,,,6,736.0,780.0,771.0,381.0,261.0,192.0,83.0,65.0,56.0,66.0,109.0,267.0,3767.0,4,,3124.0,,,,,,,,,,,,,,,3767.0,,3767.0,3767.0,3767.0,3767.0,3767.0,3124.0,,3124.0,3124.0,3124.0,3124.0,3124.0,22.0,4.0,2.0,97.0,5.5,4.0,1.0,3.0,0.75,4.0
Edgewater,170310303001006.0,Commercial,Multi < 7,3823.0,2878.0,3045.0,3474.0,5422.0,8385.0,7273.0,5543.0,4084.0,3499.0,4399.0,6086.0,57911.0,4,0,,,,,,,,,,,,,,,16872.0,,14477.75,16926.94,738.0,4034.0,9041.0,24921.5,39091.0,16872.0,,16872.0,16872.0,16872.0,16872.0,16872.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,,0.0
